ID,TITLE,DESCRIPTION,DESCRIPTION_HTML,VENDOR,HANDLE,PRODUCT_TYPE,TAGS,STATUS,PRICE_RANGE_V2,IMAGES,FEATURED_IMAGE,TOTAL_VARIANTS,TOTAL_INVENTORY,IS_GIFT_CARD,HAS_OUT_OF_STOCK_VARIANTS,CREATED_AT,UPDATED_AT,PUBLISHED_AT,ONLINE_STORE_URL,ADMIN_GRAPHQL_API_ID
1,"iPhone 15 Pro","Latest iPhone with titanium design and A17 Pro chip","<p>Latest iPhone with <strong>titanium design</strong> and A17 Pro chip</p>","Apple","iphone-15-pro","Smartphones","smartphone,apple,premium","active","{""minVariantPrice"":{""amount"":""999.00""},""maxVariantPrice"":{""amount"":""1199.00""}}","[{""url"":""https://example.com/iphone15pro.jpg""}]","https://example.com/iphone15pro.jpg",3,50,false,false,"2024-01-15T10:00:00Z","2024-06-15T14:30:00Z","2024-01-15T10:00:00Z","https://store.apple.com/iphone-15-pro","gid://shopify/Product/1"
2,"Samsung Galaxy S24","Flagship Android phone with AI features","<p>Flagship Android phone with <em>AI features</em></p>","Samsung","galaxy-s24","Smartphones","smartphone,samsung,android","active","{""minVariantPrice"":{""amount"":""799.00""},""maxVariantPrice"":{""amount"":""999.00""}}","[{""url"":""https://example.com/galaxys24.jpg""}]","https://example.com/galaxys24.jpg",4,75,false,false,"2024-02-01T09:00:00Z","2024-06-10T16:20:00Z","2024-02-01T09:00:00Z","https://samsung.com/galaxy-s24","gid://shopify/Product/2"
3,"MacBook Air M3","Lightweight laptop with M3 chip","<p>Lightweight laptop with powerful <strong>M3 chip</strong></p>","Apple","macbook-air-m3","Laptops","laptop,apple,ultrabook","active","{""minVariantPrice"":{""amount"":""1099.00""},""maxVariantPrice"":{""amount"":""1499.00""}}","[{""url"":""https://example.com/macbookair.jpg""}]","https://example.com/macbookair.jpg",2,25,false,true,"2024-03-10T11:00:00Z","2024-06-12T13:45:00Z","2024-03-10T11:00:00Z","https://apple.com/macbook-air","gid://shopify/Product/3"
4,"Dell XPS 13","Premium Windows ultrabook","<p>Premium Windows ultrabook for professionals</p>","Dell","dell-xps-13","Laptops","laptop,dell,windows","active","{""minVariantPrice"":{""amount"":""999.00""},""maxVariantPrice"":{""amount"":""1399.00""}}","[{""url"":""https://example.com/dellxps13.jpg""}]","https://example.com/dellxps13.jpg",3,30,false,false,"2024-01-20T08:30:00Z","2024-06-08T12:15:00Z","2024-01-20T08:30:00Z","https://dell.com/xps-13","gid://shopify/Product/4"
5,"Sony WH-1000XM5","Noise-canceling wireless headphones","<p>Industry-leading <strong>noise-canceling</strong> wireless headphones</p>","Sony","wh-1000xm5","Audio","headphones,wireless,noise-canceling","active","{""minVariantPrice"":{""amount"":""399.00""},""maxVariantPrice"":{""amount"":""399.00""}}","[{""url"":""https://example.com/sonywh1000xm5.jpg""}]","https://example.com/sonywh1000xm5.jpg",1,100,false,false,"2024-02-15T14:00:00Z","2024-06-14T10:30:00Z","2024-02-15T14:00:00Z","https://sony.com/headphones","gid://shopify/Product/5"
6,"AirPods Pro 2","Apple's premium wireless earbuds","<p>Apple's premium wireless earbuds with <em>spatial audio</em></p>","Apple","airpods-pro-2","Audio","earbuds,apple,wireless","active","{""minVariantPrice"":{""amount"":""249.00""},""maxVariantPrice"":{""amount"":""249.00""}}","[{""url"":""https://example.com/airpodspro2.jpg""}]","https://example.com/airpodspro2.jpg",1,200,false,false,"2024-01-10T12:00:00Z","2024-06-16T15:20:00Z","2024-01-10T12:00:00Z","https://apple.com/airpods-pro","gid://shopify/Product/6"
7,"iPad Pro 12.9","Professional tablet with M2 chip","<p>Professional tablet with powerful <strong>M2 chip</strong></p>","Apple","ipad-pro-12-9","Tablets","tablet,apple,professional","active","{""minVariantPrice"":{""amount"":""1099.00""},""maxVariantPrice"":{""amount"":""1899.00""}}","[{""url"":""https://example.com/ipadpro.jpg""}]","https://example.com/ipadpro.jpg",4,40,false,false,"2024-03-01T10:30:00Z","2024-06-11T14:10:00Z","2024-03-01T10:30:00Z","https://apple.com/ipad-pro","gid://shopify/Product/7"
8,"Surface Pro 9","2-in-1 laptop tablet hybrid","<p>Versatile <strong>2-in-1</strong> laptop tablet hybrid</p>","Microsoft","surface-pro-9","Tablets","tablet,microsoft,2-in-1","draft","{""minVariantPrice"":{""amount"":""999.00""},""maxVariantPrice"":{""amount"":""1599.00""}}","[{""url"":""https://example.com/surfacepro9.jpg""}]","https://example.com/surfacepro9.jpg",3,0,false,true,"2024-02-20T09:15:00Z","2024-06-05T11:45:00Z","","https://microsoft.com/surface-pro","gid://shopify/Product/8"
9,"Nintendo Switch OLED","Gaming console with OLED screen","<p>Gaming console with vibrant <strong>OLED screen</strong></p>","Nintendo","nintendo-switch-oled","Gaming","console,nintendo,portable","active","{""minVariantPrice"":{""amount"":""349.00""},""maxVariantPrice"":{""amount"":""349.00""}}","[{""url"":""https://example.com/switcholed.jpg""}]","https://example.com/switcholed.jpg",1,80,false,false,"2024-01-25T13:20:00Z","2024-06-13T16:50:00Z","2024-01-25T13:20:00Z","https://nintendo.com/switch","gid://shopify/Product/9"
10,"PlayStation 5","Sony's latest gaming console","<p>Sony's latest <strong>gaming console</strong> with 4K gaming</p>","Sony","playstation-5","Gaming","console,sony,gaming","active","{""minVariantPrice"":{""amount"":""499.00""},""maxVariantPrice"":{""amount"":""499.00""}}","[{""url"":""https://example.com/ps5.jpg""}]","https://example.com/ps5.jpg",1,5,false,true,"2024-03-05T15:00:00Z","2024-06-17T12:30:00Z","2024-03-05T15:00:00Z","https://playstation.com/ps5","gid://shopify/Product/10"
11,"Gift Card $50","Digital gift card for online store","<p>Digital <strong>gift card</strong> for online purchases</p>","Store","gift-card-50","Gift Cards","gift,digital","active","{""minVariantPrice"":{""amount"":""50.00""},""maxVariantPrice"":{""amount"":""50.00""}}","[{""url"":""https://example.com/giftcard.jpg""}]","https://example.com/giftcard.jpg",1,999,true,false,"2024-01-01T00:00:00Z","2024-06-18T08:00:00Z","2024-01-01T00:00:00Z","https://store.com/gift-cards","gid://shopify/Product/11"
12,"Mechanical Keyboard RGB","Gaming mechanical keyboard with RGB","<p>Gaming mechanical keyboard with customizable <strong>RGB lighting</strong></p>","Corsair","mechanical-keyboard-rgb","Accessories","keyboard,gaming,rgb","active","{""minVariantPrice"":{""amount"":""149.00""},""maxVariantPrice"":{""amount"":""199.00""}}","[{""url"":""https://example.com/keyboard.jpg""}]","https://example.com/keyboard.jpg",2,60,false,false,"2024-02-10T11:30:00Z","2024-06-09T14:20:00Z","2024-02-10T11:30:00Z","https://corsair.com/keyboards","gid://shopify/Product/12"
